barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId,_id_$oid
4011,ITEM NOT FOUND,26,26,0,1,1,5,4011,1,26,5,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1eb0a720f0523000575
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1bb0a720f052300056b
28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10,10,1,2,1,1,28400642255,1,10,1,USER_FLAGGED,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,,,,,0,,0,,,0,,,5ff1e1bb0a720f052300056b
,,,,0,1,1,,4011,1,26,3,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1f10a720f052300057a
4011,ITEM NOT FOUND,28,28,0,1,1,4,4011,1,28,4,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1ee0a7214ada100056f
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1d20a7214ada1000561
1234,,2.56,2.56,1,2,1,3,1234,1,2.56,3,USER_FLAGGED,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1d20a7214ada1000561
4011,ITEM NOT FOUND,3.25,3.25,0,1,1,1,4011,0,,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,,,0,,0,,,0,,,5ff1e1e40a7214ada1000566
,MSSN TORTLLA,2.23,2.23,0,1009,0,1,,0,,,,,,,,,,,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,,,0,,0,,,0,,,5ff1e1cd0a720f052300056f
46000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10,10,0,0,0,1,,0,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,,,,BRAND,,,,,,0,,0,,,0,,,5ff1e1a40a720f0523000569
4011,ITEM NOT FOUND,20,20,0,1,1,5,4011,1,20,5,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1ed0a7214ada100056e
4011,ITEM NOT FOUND,20,20,0,1,1,3,4011,1,20,3,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1eb0a7214ada100056b
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1c50a720f052300056c
13562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50,50,1,1,0,5,,0,,,POINTS_GREATER_THAN_THRESHOLD,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,,,,,,50,,13562300631,1,0,,0,,,0,,,5ff1e1a10a720f0523000568
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,1,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,2,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,3,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,4,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,5,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,6,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,7,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,8,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,9,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
34100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,0,10,0,1,,0,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,870,77,0,,,0,,,5ff1e1b60a7214ada100055c
75925306254,,1,1,0,1,0,1,,0,,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,,,,,,,,,0,,1,,,0,,,5f9c74f70a7214ad07000037
,,,,1,2,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,3,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,4,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,5,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,6,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,7,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,8,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,9,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,10,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
,,,,1,11,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5f9c74f70a7214ad07000037
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1b20a7214ada100055a
,,,,1,1,1,,4011,1,25,3,USER_FLAGGED,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1e90a7214ada1000569
,,,,1,2,1,,34100573065,1,27,3,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1e90a7214ada1000569
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1df0a7214ada1000564
28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10,10,0,2,1,1,28400642255,1,10,1,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,,,,,,,,,0,800,0,,,0,,,5ff1e1df0a7214ada1000564
